Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Points_1000,10.0,77214914,Primal,-291232.72972173203,0.014435,21,0.06,0.07333333333333333,2
Points_1000,10.0,77214914,DualSinKernel,2004.9972495284505,0.018291,24,0.9357142857142857,0.9266666666666666,2
Points_1000,10.0,77214914,DualRBF,1401.7531255409504,0.26877,16,0.9385714285714286,0.9133333333333333,2
Points_1000,100.0,77214914,Primal,-3866416.1399831097,0.018489,27,0.06,0.06666666666666667,2
Points_1000,100.0,77214914,DualSinKernel,19659.80719088862,0.018417,25,0.9357142857142857,0.93,2
Points_1000,100.0,77214914,DualRBF,10274.3260915513,0.266522,16,0.9471428571428572,0.8933333333333333,2
Points_2000,0.01,77214914,Primal,-56.822500896696056,0.020662,22,0.15285714285714286,0.15166666666666667,2
Points_2000,0.01,77214914,DualSinKernel,10.257773333260193,0.079888,12,0.9364285714285714,0.9316666666666666,2
Points_2000,0.01,77214914,DualRBF,9.661592492311868,1.292766,12,0.9307142857142857,0.925,2
Points_2000,0.1,77214914,Primal,-868.249976039133,0.01784,20,0.075,0.07666666666666666,2
Points_2000,0.1,77214914,DualSinKernel,60.9191970085176,0.077982,17,0.9421428571428572,0.93,2
Points_2000,0.1,77214914,DualRBF,52.78699487060041,1.491457,17,0.93,0.915,2
Points_2000,0.0,77214914,Primal,0.0,0.002273,-1,0.5092857142857142,0.51,2
Points_2000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5092857142857142,0.51,2
Points_2000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.4907142857142857,0.49,2
Points_2000,1.0,77214914,Primal,-29992.751936985926,0.020525,23,0.054285714285714284,0.07,2
Points_2000,1.0,77214914,DualSinKernel,435.84393580224145,0.081633,25,0.945,0.9316666666666666,2
Points_2000,1.0,77214914,DualRBF,353.3703080722531,1.841536,22,0.9364285714285714,0.9216666666666666,2
Points_2000,10.0,77214914,Primal,-628826.2449717529,0.020787,23,0.056428571428571425,0.07,2
Points_2000,10.0,77214914,DualSinKernel,3964.0743199341305,0.082251,23,0.9442857142857143,0.93,2
Points_2000,10.0,77214914,DualRBF,2795.3083928279148,1.583576,19,0.9385714285714286,0.9133333333333333,2
Points_2000,100.0,77214914,Primal,-8732371.043440081,0.024281,29,0.056428571428571425,0.06833333333333333,2
Points_2000,100.0,77214914,DualSinKernel,39147.254389354304,0.083325,27,0.9457142857142857,0.93,2
Points_2000,100.0,77214914,DualRBF,23380.94631806142,1.533397,18,0.9471428571428572,0.9116666666666666,2
WDBC,0.01,77214914,Primal,-651186.9525153406,0.014834,8,0.20854271356783918,0.16374269005847952,2
WDBC,0.01,77214914,DualSinKernel,0.35577694086426426,0.022491,27,0.9623115577889447,0.9181286549707602,2
WDBC,0.01,77214914,DualRBF,2.4826556177922523,0.057785,11,0.8819095477386935,0.8654970760233918,2
WDBC,0.1,77214914,Primal,-8219700.488393048,0.01643,9,0.21105527638190955,0.25146198830409355,2
WDBC,0.1,77214914,DualSinKernel,3.229115881547863,0.020775,23,0.9723618090452262,0.9181286549707602,2
WDBC,0.1,77214914,DualRBF,13.206979876660235,0.077486,17,0.8819095477386935,0.8654970760233918,2
WDBC,0.0,77214914,Primal,0.0,0.002323,-1,0.37185929648241206,0.3742690058479532,2
WDBC,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.37185929648241206,0.3742690058479532,2
WDBC,0.0,77214914,DualRBF,0.0,-1.0,-1,0.628140703517588,0.6257309941520468,2
WDBC,1.0,77214914,Primal,-59823149.80307101,0.027751,18,0.23618090452261306,0.26900584795321636,2
WDBC,1.0,77214914,DualSinKernel,26.4131325292176,0.020615,22,0.9798994974874372,0.9239766081871345,2
WDBC,1.0,77214914,DualRBF,89.7034518674874,0.110723,19,0.8768844221105527,0.8596491228070176,2
WDBC,10.0,77214914,Primal,-1053691165.029534,0.032584,24,0.22613065326633167,0.2573099415204678,2
WDBC,10.0,77214914,DualSinKernel,201.46565121590302,0.020681,23,0.9824120603015075,0.935672514619883,2
WDBC,10.0,77214914,DualRBF,670.7738104012668,0.082776,19,0.9095477386934674,0.8771929824561403,2
WDBC,100.0,77214914,Primal,-14020468374.198328,0.043874,34,0.21608040201005024,0.23976608187134502,2
WDBC,100.0,77214914,DualSinKernel,1376.002175344278,0.020718,23,0.992462311557789,0.9473684210526315,2
WDBC,100.0,77214914,DualRBF,5499.416614718495,0.080159,18,0.9371859296482412,0.9181286549707602,2
Moons_100,0.01,77214914,Primal,-20.611451164981144,0.003982,10,0.5,0.5,2
Moons_100,0.01,77214914,DualSinKernel,0.5718255137848155,0.002915,8,0.8,0.7,2
Moons_100,0.01,77214914,DualRBF,0.6668758394953469,0.004684,7,0.8571428571428571,0.8333333333333334,2
Moons_100,0.1,77214914,Primal,-461.46318488300636,0.003482,9,0.21428571428571427,0.3,2
Moons_100,0.1,77214914,DualSinKernel,3.1193472106858215,0.003305,13,0.8571428571428571,0.8,2
Moons_100,0.1,77214914,DualRBF,4.036185743785429,0.005896,11,0.8857142857142857,0.8666666666666667,2
Moons_100,0.0,77214914,Primal,0.0,0.00151,-1,0.5,0.5,2
Moons_100,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,2
Moons_100,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,2
Moons_100,1.0,77214914,Primal,-7433.089389260563,0.003661,10,0.2,0.26666666666666666,2
Moons_100,1.0,77214914,DualSinKernel,21.4315086989994,0.003872,16,0.8857142857142857,0.8333333333333334,2
Moons_100,1.0,77214914,DualRBF,16.68440889514491,0.006633,13,0.9285714285714286,1.0,2
Moons_100,10.0,77214914,Primal,-96305.80671905595,0.00391,11,0.21428571428571427,0.3,2
